,Bearing 1,Bearing 2,Bearing 3,Bearing 4
2003-10-22 12:06:24,0.10414785878216577,0.10714727281605542,0.1061485424092972,0.09480252942037912
2003-10-22 12:09:13,0.10365130133307263,0.10818902290150831,0.10666092094340458,0.09507007178084655
2003-10-22 12:14:13,0.10503872259387531,0.10854343473802402,0.10874022169051152,0.09615777137555355
2003-10-22 12:19:13,0.104900141608476,0.10815152107036474,0.10806826505200438,0.09681385809853772
2003-10-22 12:24:13,0.10477860247082281,0.10794330777870006,0.10845397724498233,0.09635758581961792
2003-10-22 12:29:13,0.10523145661409183,0.10768069729967258,0.10850832560183535,0.10697182479613068
2003-10-22 12:34:13,0.1050312515259525,0.10827496459788083,0.10836578934518278,0.05172244738512496
2003-10-22 12:39:13,0.10477469603007789,0.10730099125933838,0.10792641242248038,0.10254480199228255
2003-10-22 12:44:13,0.10517222520630835,0.10840749060012635,0.10857766492504477,0.06754958738219653
2003-10-22 12:49:13,0.10438307534547497,0.1069277796767418,0.10819229454563191,0.08474984130084383
2003-10-22 12:54:13,0.10468308999462786,0.10725054934322911,0.10775057375848363,0.11661458079007588
2003-10-22 12:59:13,0.1041566971043493,0.10735250744665244,0.10846408516040748,0.08320528346110542
2003-10-22 13:04:13,0.10392235949020875,0.10717217637579993,0.10741676839689362,0.09538615166755972
2003-10-22 13:09:13,0.1042470335465585,0.10707139020459983,0.10861780360369068,0.0946526685873313
2003-10-22 13:14:13,0.1043275550563983,0.10692987938864126,0.10806186825528571,0.09508330484886737
2003-10-22 13:19:13,0.10721783290199659,0.10730528834415677,0.10786288392987972,0.09579325162361228
2003-10-22 13:24:13,0.10568924263879993,0.1084139362273542,0.10811763269690827,0.09654841544997049
2003-10-22 13:29:13,0.10617954978270328,0.10858835880658144,0.10861189511206479,0.0976962742321377
2003-10-22 13:34:13,0.10475648225010822,0.10822549929195699,0.10788241613359939,0.09590819864250988
2003-10-22 13:39:13,0.10531749597148243,0.10749533668636133,0.10827139997070062,0.04843400556667676
2003-10-22 13:44:13,0.10549182088969075,0.1084598857366075,0.10814829825675076,0.09690385272718198
2003-10-22 13:49:13,0.10625343034327717,0.10810566922212936,0.10746227843156354,0.09639088822696174
2003-10-22 13:54:13,0.10526539381805605,0.1086124810781764,0.10832096293764336,0.09346135065188538
2003-10-22 13:59:13,0.10609648908638135,0.10770242687631092,0.1081904389862781,0.13393940133795457
2003-10-22 14:04:13,0.10451701743249046,0.10767337272327714,0.10852487914448906,0.22917862200302808
2003-10-22 14:09:13,0.10488104887933841,0.10844992431271011,0.10834440158210797,0.08900585966111492
2003-10-22 14:14:13,0.10581224669173205,0.10766897797743936,0.10856086722984461,0.09618604424043944
2003-10-22 14:19:13,0.10535831827725874,0.10925733678402284,0.1090226573563153,0.0981838956980307
2003-10-22 14:24:13,0.10601372137311374,0.10842375115972493,0.10853444992431181,0.09532242785292067
2003-10-22 14:29:13,0.10600405293227089,0.107422530396992,0.10847834366912389,0.09722696420723427
2003-10-22 14:34:13,0.10523394697006577,0.10855906050100045,0.10833575858196097,0.09719136676595391
2003-10-22 14:39:13,0.10542126080374885,0.10845676058401232,0.10800888715269288,0.09699672835587488
2003-10-22 14:44:13,0.10603662288197539,0.10860579129840282,0.1084350798378823,0.09648200595732045
2003-10-22 14:49:13,0.10514800527369383,0.10776566238585773,0.1083661799892565,0.1031413154939185
2003-10-22 14:54:13,0.10543913277015361,0.10790810098149312,0.10780882855608159,0.09809731920503717
2003-10-22 14:59:13,0.10501367254260388,0.10899833976268374,0.10723248205478712,0.09285809853996603
2003-10-22 15:04:13,0.10505884076370858,0.10842511841398511,0.10804077347526675,0.07453230138190274
2003-10-22 15:09:13,0.10469065872356992,0.10788983837101426,0.10756828946725817,0.09630846232725965
2003-10-22 15:14:13,0.1048729430147946,0.1078635675570092,0.10739967771863788,0.09554050490746428
2003-10-22 15:19:13,0.1045481712974249,0.108473948923287,0.1078744567605827,0.0909009228966239
2003-10-22 15:24:13,0.10492509399872989,0.10825611602128968,0.10764392792616748,0.09695488060940295
2003-10-22 15:29:13,0.10488236730309004,0.10785907515015364,0.10831236876800499,0.05867522828262965
2003-10-22 15:37:48,0.1047515503686691,0.10712412715464574,0.10721392646125108,0.09386801113335358
2003-10-22 15:44:13,0.10469563943551882,0.10863640802773568,0.10894169637189215,0.0956795253674474
2003-10-22 15:54:13,0.1058684017774299,0.10814380584989502,0.1090041505932904,0.0961502514771208
2003-10-22 16:04:13,0.1054397187362656,0.1080500512720343,0.10788754333707645,0.10291601152399747
2003-10-22 16:14:13,0.10504258020410999,0.10811030812051248,0.1073951853117819,0.0964094438204971
2003-10-22 16:24:13,0.10488075589628351,0.10822691537672678,0.10868450607939796,0.09276502758923584
2003-10-22 16:34:13,0.1052524049025825,0.108643244299038,0.10764192587528616,0.09725723912300219
2003-10-22 16:44:13,0.10485775672640192,0.10826646808926144,0.10745344010937972,0.09750021973729049
2003-10-22 16:54:13,0.10623716978368024,0.10798139557595504,0.10841618243078165,0.09752658821231193
2003-10-22 17:04:13,0.10550734899164974,0.10842487426143843,0.10799794911860906,0.09736827970115507
2003-10-22 17:14:13,0.10551364812734874,0.10796396308413396,0.10751872650031744,0.09707617559450948
2003-10-22 17:19:38,0.10397685433858962,0.1069518042873188,0.10703818545827268,0.09540529322720685
2003-10-22 17:24:13,0.10580213877630698,0.10852746716148212,0.10782484496313223,0.09754157917866878
2003-10-22 17:34:13,0.10740348649836365,0.10857917867083315,0.1078938424727759,0.09629273890326502
2003-10-22 17:44:13,0.10462654426485565,0.10777435421651352,0.10823126129205465,0.09741046926119278
